filename, language, JSON, JavaScript, Markdown, XML, Log, comment, blank, total
/home/mordoss/moja-njiva/hooks/usePlantCalc.js, JavaScript, 0, 116, 0, 0, 0, 0, 11, 127
/home/mordoss/moja-njiva/hooks/useWorkData.js, JavaScript, 0, 60, 0, 0, 0, 0, 9, 69
/home/mordoss/moja-njiva/navigation/index.js, JavaScript, 0, 36, 0, 0, 0, 0, 3, 39
/home/mordoss/moja-njiva/package.json, JSON, 36, 0, 0, 0, 0, 0, 1, 37
/home/mordoss/moja-njiva/redux/actions/basicStateActions.js, JavaScript, 0, 35, 0, 0, 0, 0, 5, 40
/home/mordoss/moja-njiva/redux/actions/cammonWorkActions.js, JavaScript, 0, 56, 0, 0, 0, 0, 7, 63
/home/mordoss/moja-njiva/redux/actions/specialActions.js, JavaScript, 0, 73, 0, 0, 0, 0, 8, 81
/home/mordoss/moja-njiva/redux/reducers/activeFieldReducer.js, JavaScript, 0, 7, 0, 0, 0, 0, 2, 9
/home/mordoss/moja-njiva/redux/reducers/fieldReducer.js, JavaScript, 0, 197, 0, 0, 0, 0, 15, 212
/home/mordoss/moja-njiva/redux/reducers/index.js, JavaScript, 0, 11, 0, 0, 0, 0, 3, 14
/home/mordoss/moja-njiva/redux/store/field0/basicState.js, JavaScript, 0, 7, 0, 0, 0, 0, 1, 8
/home/mordoss/moja-njiva/redux/store/field0/fertilizationState.js, JavaScript, 0, 16, 0, 0, 0, 0, 1, 17
/home/mordoss/moja-njiva/redux/store/field0/groundWorksState.js, JavaScript, 0, 101, 0, 0, 0, 0, 5, 106
/home/mordoss/moja-njiva/redux/store/field0/index.js, JavaScript, 0, 14, 0, 0, 0, 0, 2, 16
/home/mordoss/moja-njiva/redux/store/field0/midRowCultivationState.js, JavaScript, 0, 12, 0, 0, 0, 0, 1, 13
/home/mordoss/moja-njiva/redux/store/field0/sowingState.js, JavaScript, 0, 4, 0, 0, 0, 0, 1, 5
/home/mordoss/moja-njiva/redux/store/field0/sprayingState.js, JavaScript, 0, 12, 0, 0, 0, 0, 2, 14
/home/mordoss/moja-njiva/redux/store/field1/basicState.js, JavaScript, 0, 7, 0, 0, 0, 0, 1, 8
